,Word,Accent index
0,a,1
1,A,0
2,abeceda,5
3,abecedarij,5
4,abecedirati,7
5,abecedni,1
6,ablativ,1
7,abortirati,6
8,abortus,3
9,abrazija,1
10,acetat,3
11,acetilen,5
12,acidofilan,1
13,adaptacija,6
14,adaptirati,6
15,adhezija,1
16,adicija,3
17,adirati,3
18,administracija,10
19,administrativni,1
20,administrator,6
21,administratorica,6
22,administratoričin,6
23,admiral,4
24,admiralica,6
25,admiraličin,6
26,admiralitet,8
27,admiralski,4
28,adolescencija,8
29,adolescent,5
30,adolescentica,5
31,adolescentičin,5
32,adrenalin,6
33,adresa,4
34,adresni,1
35,advent,1
36,adventski,1
37,advokat,4
38,advokatica,6
39,advokatičin,6
40,advokatski,4
41,aerob,1
42,aerobik,4
43,aerobika,4
44,aerobni,1
45,aerodinamički,8
46,aerodinamika,8
47,aerodrom,4
48,aerofonski,1
49,aerostatički,7
50,aerostatika,7
51,afera,3
52,afiks,1
53,afirmirati,6
54,aforističan,5
55,aforizam,5
56,afrikata,6
57,afrikatni,4
58,afroazijski,5
59,aga,1
60,agama,3
61,agava,3
62,agencija,3
63,agencijski,3
64,agent,1
65,agentica,1
66,agentičin,1
67,aginica,1
68,aginičin,1
69,agitacija,5
70,agitator,3
71,agitatorica,3
72,agitatoričin,3
73,agitatorski,3
74,agitiranje,5
75,agitirati,5
76,aglomeracija,8
77,agonija,3
78,agora,1
79,agrar,1
80,agrarni,1
81,agregacija,6
82,agregacijski,6
83,agregat,4
84,agresija,4
85,agresivan,1
86,agresivnost,6
87,agronom,4
88,agronomija,6
89,agronomka,4
90,agronomski,4
91,agrotehnički,6
92,agrotehnika,6
93,agrum,1
94,ah,1
95,aha,1
96,AIDS,0
97,aj,1
98,ajme,1
99,akacija,1
100,akademija,5
101,akademik,5
102,akademkinja,5
103,akademski,3
104,akceleracija,8
105,akceleracijski,8
106,akcelerator,6
107,akcenatski,1
108,akcent,1
109,akcentirati,7
110,akcija,1
111,akcijski,1
112,akcioni,1
113,akna,1
114,ako,1
115,akord,1
116,akreditacija,8
117,akreditirati,8
118,akrobacija,6
119,akrobat,4
120,akrobatika,6
121,akrobatkinja,4
122,akrobatski,4
123,akronim,4
124,akropola,4
125,akrostih,1
126,aksiom,4
127,aktinidija,4
128,aktiv,1
129,aktivan,1
130,aktiviranje,6
131,aktivirati,6
132,aktivist,4
133,aktivistica,4
134,aktivističin,4
135,aktivni,1
136,aktivnost,4
137,aktualan,1
138,aktuelan,1
139,akumulacija,7
140,akumulacijski,7
141,akumulator,5
142,akumulirati,7
143,akustičan,3
144,akustički,3
145,akustičnost,3
146,akustika,3
147,akuzativ,1
148,akvakultura,9
149,akvarel,4
150,akvarij,1
151,akvarijski,1
152,akvedukt,4
153,akviziter,6
154,akviziterka,6
155,akviziterski,6
156,alarm,1
157,alarmantan,6
158,alarmni,1
159,alat,1
160,alatni,1
161,albanski,1
162,albinizam,6
163,album,1
164,alegoričan,5
165,alegorija,5
166,alegorijski,5
167,aleja,3
168,alergen,1
169,alergičan,3
170,alergija,3
171,alergijski,3
172,alfabet,4
173,alfabetni,4
174,alga,1
175,algašica,4
176,algebarski,1
177,algebra,1
178,algoritam,6
179,algoritamski,6
180,ali,1
181,alibi,1
182,aligator,3
183,alijansa,5
184,alimentacija,8
185,aliteracija,7
186,b,0
187,B,0
188,baba,2
189,babaroga,6
190,babić,2
191,babinjača,4
192,babinje,2
193,babura,2
194,bacač,2
195,bacačica,4
196,bacačičin,4
197,bacački,2
198,bacanje,2
199,bacati,2
200,bacil,2
201,baciti,2
202,bačva,2
203,bačvar,2
204,bačvarev,2
205,bačvarica,2
206,bačvaričin,2
207,bačvarov,2
208,bačvarski,2
209,bačvarstvo,5
210,bačvast,2
211,badanj,2
212,badava,4
213,badem,2
214,bademov,2
215,badminton,2
216,badnjak,2
217,badnji,2
218,badrljica,5
219,bager,2
220,bagrem,2
221,bahat,2
222,bahato,2
223,bahatost,2
224,bajam,2
225,bajamov,2
226,bajka,2
227,bajkovit,5
228,Bajram,2
229,bajramski,2
230,bajt,2
231,baka,2
232,bakalar,4
233,bakar,2
234,bakelit,4
235,baklava,5
236,baklja,2
237,bakren,2
238,bakrorez,2
239,bakrov,2
240,bakterija,2
241,bakterijski,2
242,bakteriologija,10
243,bakteriološki,8
244,bal,2
245,bala,2
246,balada,4
247,balancana,4
248,balans,2
249,balansirati,7
250,balast,2
251,balavac,2
252,balavčev,2
253,balavica,2
254,balavičin,2
255,bale,2
256,balerina,6
257,balestra,2
258,balet,2
259,baletan,4
260,baletni,2
261,balista,2
262,balistički,4
263,balistika,4
264,balkon,2
265,balkonski,2
266,balon,2
267,balun,2
268,balzam,2
269,balzamiranje,7
270,balzamirati,7
271,bambus,2
272,ban,2
273,banalan,2
274,banalizirati,8
275,banana,4
276,banda,2
277,bandit,2
278,banditkinja,2
279,banka,2
280,bankar,2
281,bankarev,5
282,bankarica,5
283,bankaričin,5
284,bankarov,5
285,bankarski,2
286,bankarstvo,5
287,banket,2
288,bankomat,5
289,bankovni,2
290,bankrot,2
291,bankrotirati,8
292,banovina,2
293,banski,2
294,banuti,2
295,baobab,2
296,bar,0
297,bara,2
298,baraka,4
299,barba,2
300,barbarin,2
301,barbarizam,7
302,barbarski,2
303,barbarstvo,5
304,bard,2
305,barem,2
306,barij,2
307,barijera,6
308,barijev,2
309,barikada,6
310,bariton,2
311,barjak,2
312,barka,2
313,barnjak,2
314,barok,2
315,barokni,2
316,barokomora,6
317,barometar,2
318,barometarski,2
319,barski,2
320,baršun,2
321,baršunast,5
322,barun,2
323,barunica,4
324,baruničin,4
325,barut,2
326,barutana,6
327,barutni,2
328,bas,2
329,basist,2
330,basistica,2
331,basističin,2
332,baskijski,2
333,basna,2
334,basnopisac,7
335,basnopiščev,7
336,baš,2
337,baština,2
338,baštiniti,2
339,bat,2
340,baterija,4
341,baterijski,4
342,batić,2
343,batina,2
344,bauk,2
345,baviti,2
346,bavljenje,2
347,baza,2
348,bazalni,2
349,bazen,2
350,bazga,2
351,bazgov,2
352,bazični,2
353,bazilika,4
354,bazni,2
355,bdjenje,4
356,bdjeti,4
357,be,2
358,beatificirati,9
359,beatifikacija,9
360,beba,2
361,bećar,2
362,bećarac,4
363,bećarev,4
364,bećarov,4
365,bećarski,2
366,bedem,2
367,bedreni,2
368,bedro,2
369,beduin,4
370,beduinka,4
371,c,0
372,C,0
373,caklenjača,5
374,caklina,2
375,cal,0
376,car,2
377,carev,2
378,carevanje,2
379,carevati,2
380,carević,2
381,carevina,2
382,carevna,2
383,carica,2
384,caričin,2
385,carina,2
386,carinarnica,6
387,carinica,2
388,cariničin,2
389,carinik,2
390,cariniti,2
391,carinski,2
392,carinjenje,2
393,caristički,4
394,carizam,4
395,carski,2
396,carstvo,2
397,CD,0
398,cedar,2
399,cedrov,2
400,cedrovina,2
401,cedulja,2
402,ceh,2
403,cehovski,2
404,cekin,2
405,celer,2
406,celibat,4
407,celofan,4
408,celofanski,4
409,celuloza,6
410,celzij,2
411,cement,2
412,cementara,4
413,cementirati,7
414,cementni,2
415,cendranje,2
416,cendrati,2
417,cent,2
418,centa,2
419,centar,2
420,centilitar,2
421,centimetar,2
422,centrala,6
423,centralistički,8
424,centralizacija,10
425,centralizam,8
426,centralizirati,8
427,centralni,2
428,centralnosimetričan,13
429,centrifuga,8
430,centrifugalan,8
431,centrifugirati,10
432,centripetalan,8
433,centrosom,6
434,cenzor,2
435,cenzorica,2
436,cenzoričin,2
437,cenzorski,2
438,cenzura,5
439,cenzurirati,7
440,cepelin,2
441,ceremonija,6
442,ceriti,2
443,cesta,2
444,cestarina,5
445,cestovni,2
446,cezij,2
447,cezijev,2
448,cezura,4
449,cič,2
450,ciča,2
451,ciferšlus,2
452,cigara,4
453,cigareta,6
454,cigla,2
455,ciglana,5
456,cijediti,4
457,cijeđenje,4
458,cijel,4
459,cijeliti,4
